1753086615.718,26.82,-2.99
1753086615.734,26.90,-3.01
1753086615.750,27.02,-3.01
1753086615.766,27.10,-3.07
1753086615.782,27.11,-3.14
1753086615.782,26.86,-3.05
1753086615.798,26.81,-3.00
1753086615.814,26.99,-2.96
1753086615.878,26.72,-3.01
1753086615.878,26.66,-3.06
1753086615.894,26.59,-3.10
1753086615.894,26.73,-3.09
1753086615.910,26.78,-3.07
1753086615.910,26.72,-3.00
1753086615.942,26.78,-2.99
1753086615.958,27.18,-3.05
1753086615.974,27.20,-3.04
1753086615.990,27.32,-3.10
1753086616.021,27.41,-3.11
1753086616.021,27.24,-3.15
1753086616.021,27.02,-3.15
1753086616.021,27.09,-3.13
1753086616.021,27.03,-3.06
1753086616.053,27.14,-3.03
1753086616.053,27.21,-3.04
1753086616.053,27.18,-3.04
1753086616.069,27.17,-2.97
1753086616.085,33.60,-4.44
1753086616.101,30.45,-0.17
1753086616.101,29.47,0.14
1753086616.101,27.79,-0.52
1753086616.133,68.92,-19.39
1753086616.149,75.66,-62.65
1753086616.165,63.71,-65.19
1753086616.181,52.74,-36.57
1753086616.197,37.70,-5.71
1753086616.229,32.33,19.94
1753086616.229,29.17,14.76
1753086616.229,27.36,-18.64
1753086616.245,88.21,-60.55
1753086616.261,79.88,-73.10
1753086616.293,79.70,-84.00
1753086616.309,78.09,-114.29
1753086616.309,76.46,-124.98
1753086616.341,79.28,-90.59
1753086616.357,73.86,-53.87
1753086616.357,72.81,-17.36
1753086616.373,63.03,12.64
1753086616.373,71.06,29.88
1753086616.389,50.30,33.96
1753086616.405,56.87,41.80
1753086616.421,64.54,59.46
1753086616.421,73.30,64.78
1753086616.421,72.24,68.22
1753086616.453,67.14,70.59
1753086616.453,71.20,70.38
1753086616.453,76.40,68.94
1753086616.453,79.93,65.68
1753086616.469,68.77,61.32
1753086616.469,66.08,59.27
1753086616.485,86.94,35.12
1753086616.485,73.43,56.90
1753086616.485,69.66,79.09
1753086616.501,72.23,71.91
1753086616.549,69.52,55.78
1753086616.550,67.66,38.41
1753086616.565,74.49,10.99
1753086616.581,76.09,-1.32
1753086616.597,80.07,-3.20
1753086616.613,84.10,-4.92
1753086616.613,86.93,-9.30
1753086616.645,92.51,-14.50
1753086616.661,108.04,-30.94
1753086616.677,117.09,-50.09
1753086616.693,111.05,-53.50
1753086616.694,116.49,-48.47
1753086616.709,131.68,-45.25
1753086616.709,136.77,-12.91
1753086616.741,136.17,-15.36
1753086616.762,135.68,-12.39
1753086616.762,144.51,-12.08
1753086616.762,158.08,-4.26
1753086616.762,172.09,17.59
1753086616.762,163.65,32.27
1753086616.778,155.11,34.82
1753086616.794,146.17,16.08
1753086616.826,141.60,-5.08
1753086616.827,140.98,-18.72
1753086616.842,145.28,-16.45
1753086616.858,148.63,-12.61
1753086616.858,151.01,-9.27
1753086616.858,152.72,-6.58
1753086616.875,156.93,-5.85
1753086616.875,150.70,-23.66
1753086616.875,151.34,-32.56
1753086616.890,157.85,-52.13
1753086616.890,155.34,-67.01
1753086616.906,155.73,-100.37
1753086616.906,157.56,-135.32
1753086616.922,142.43,-145.60
1753086616.938,141.99,-124.32
1753086616.954,150.51,-92.04
1753086616.970,148.09,-79.37
1753086616.970,150.84,-55.56
1753086616.986,153.30,-37.76
1753086616.986,154.62,-26.95
1753086617.003,152.56,-17.80
1753086617.003,144.63,-14.94
1753086617.003,132.79,-12.91
1753086617.034,128.18,-8.91
1753086617.050,126.30,-6.96
1753086617.066,126.60,-6.43
